Emotion,Text
anger,gaduh polo mah mung babangus wungkul cenah ustadz
anger,punya temen kok ga ad akhlak na sholat subuh bangsat malah nge bokep sia teh gelo pisan 
anger,gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu di imah ge saminggu beunang cik karunya ka diri sorangan teh gobloggg cicing heula mah dripda cicing di r isolasi kaluar2 sateh
fear,ai ngadangukeun nightmare side teh sok muringkak bulu irung euy
anger,bencong laknat wani na di kandang anjing deuleukeun sia kadieu ku aing buburak sia
anger,sok kehel aing mah emang maraneh bisa maen nya geus atuh maraen milu seleksi ka persib kaditu persib eleh keuheul aing ge tapi teu ngagogoreng da karasa atuh ai geus dilapangan mah kumaha ngarasa aing ge hesena dilapang kumaha naha meni kaleuleuwihan pisan asana teh
anger,sok geura leungit atuh sia teh corona matak gelo yeuh aing unggal poe gogoleran
sadness,setiap inget we pasti clak cai panon ayn mh gs bda wktu knyaahna gs bner2 lengit psan gs eweh jdi prcuma ngarep kenh g moal balik deui 
anger,rek preman rek naon oge ku aing moal di tarajean kira ngaganggu ka aing di leyek ku aing mah
joy,alhamdulillah nuhun gusti nuhun mamah nuhun sib nuhun pln 1point ge uyuhan
anger,jadi ieu teh gara gara sianya sia nyien ulah teh bajingan pisan tong kitu gera hereyna lucu asup sumpah ngarti bangsat aing jadi bisa kamana mana gara gara sia anjing goblog pisan sia bangsatttttt
fear,sereum pisan atuh siliwangi mah kajeun ngalewat jalak jam sakieu keur itu pati keeung siliwangi mah eduns
joy,alahbatan sagala boga bagja boga budak rsepna kacida
fear,nyobain iphone 3gs wuih asa ngaderegdeg sieun murag da nu batur
joy,ti lembur asa sono bukber di tamansari nu kaluhur di cafe sg naon teh ajang canda tawa silaturahmi asa atoh teh ulin ka kota
anger,tungguan weh nder kamu sukses pasti hyg balik ke ge mun teu ngajak nikah pasti minjem duit lalaki bangsat bedul siah goblog pisan euy
anger,rieut aing jaman sekarang media banyak banget yang jadi wadah umat beragama untuk perang bacot asa hayang di dagor teh adminna ajg
sadness,sakapeung mah sok hayang ngagabrung nangkeup indung tapi inget indung
joy,ngomong2 ayeuna ppu na karak ageung skor na ih meuni bungah
sadness,he eh perpisahanna ge meuni sedih jiga nu geus 3 musim sareng persib tpi pedah ngakat d era eta jd memorable
joy,ayeuna nyi cenah teh tepang taun nya aduuh meuni bungah euy anu happy bday sing bageur seueur rezeki sareng pnjng umur nya
anger,dupi babangus t h upami nyarios kedah disarengan ku polo supados katinggalna pinter sanaos belegug og 
joy,alhamdulillah meuni nikmat ieu seri
sadness,oh jadi gini kelakuan urang bebelaan ngadekem dikosan ka tasik nahan balik ti jakarta ngarah jadi carrier tapi kalakuan maraneh kitu solider urang balik maenya maneh balik karunya kolot di lembur rentan virus atuh gais cape lah ngomong jeung nu paduli
anger,aya dulur aing salah gaul ngabela malaysia mun ku aing kepret ke aing nu di kepret ku indung aing ah degulkeun we ku aing
anger,saminggu gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh gobloggg cicing heula mah dripda cicing di r isolasi teu kaluar2 sateh
fear,sok asa hariwang tehh lamun jaman ningali budak kiwari anu aga egeu arap ap eureup eup nalika nyarios ku basa sunda cobi lamun dibiasakeun
fear,ga kebayang kl jadi penduduk di sekitar gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal 20 km
anger,puntenan pisan ieu mah cik atuh anyinc setan iblis babi bagong batur th malodar garoblog ecreug geura bisi palidkeun ka cimanuk jin iprit neleu kalakuan saria siga kieu mah wereu blog ehh gusti ampun ka pangeran
joy,alhamdulillah nasi goreng seafood plus bumbu pulitiknya hatur nuhun gusti alloh 
anger,geuleuh ih anjing eta ucing sumput nyumput ainx gera goblog teu nyopan abuz ka imah batur tanpa permisi hayang neunggeul da ka imah
joy,malem wa anang ini asa sumbringah gitu ya mau kawin besok kali ya hehe
sadness,asa cerik batin abdi mh ya allah semoga si ema sllu sehat di murahkan rejekinya amiin
anger,lamun sakirana masih butuh tong sok nyapirakeun goblog rudet
anger,yeuh anjing ai sakirana titah make sapatu jeung helm safety wae mumul mah ulang loba bacot lah ijid anjing loba instrospeksi geura goblog 
anger,aslina maruk na beragama teu make akal kitu garelo jelema teh wa lieur urg nempo aya jenazah corona dek dikurebkeun warga2 pada nempoan ngarumpul coba mun kieu man bieu indonesia jd pang rangsakna ku corona
joy,cing atulah ieu kuat seuseurian ngedanguna
fear,saya mah palaur teh upami paratuh diperpanjang psbb na hadeuuuh ripuuh
sadness,cing atulah ulah mawa mantan sok nyeredet kana hate mantan mah knangan
anger,geuleuh aing ka beunget sia dih siga nu heuh bae padahal mah beunget sia geh goreng jadah teh 
joy,ge cenah poe mamak urang mangmelikeun bunda kebab jeung ngagofood double cheese burger mcd ge si bunda kuatka bungah pisan padahal ngan saukur makanan kamari
sadness,duh gusti hujan ku hujan na ath saat knh wae sumur teh ni sangsara ku cai 
fear,ka hanteum ku truk ti tukang urg bieu nempo budak ancur muriding
joy,hatur nuhun gusti hatur nuhun abah jeung umi ngajarkeun abdi raka sareng rai
fear,urang pernah rasis ngahurungkeun flare tapi meuli tiket mah always tapi ningali imbasna ka persib siga kieu mah duh asa hariwang 
joy,sumpah bagja ningali na pak polisi barugah daripada ningali nu ngaja demo mani taregang 
fear,serem tandaseru nya jadi ngabirigidig liatnya juga
anger,ai bbm aktif terus bc bc test aktif teh biar apa sih gengs beunget sia tah anyeng aktif keun mah lah pusing
joy,bingah di jakarta ninggal bajaj aya sticker pikiran rakyat jadi geura uwih ka bandung
fear,asa jd takut kieu tkut di maling in
fear,edan ni keueung kieu
joy,waduh urang sunda pami kempel balagonjakan wae ya allah alhamdulillah tiasa seuri mugia janten barokah sareng nambih babarayaan aamiin 
anger,aing etamah min nyindir caritana hantam nyok
sadness,duh gusti cai soca teu tiasa ditahan nalika suling gugupai kana manah nyeredet kana hate uih ka pilemburan malikeun waktos janten budak deui guyang di balong ngurek belut di sawah teterengkelan kana tangkal tatangga gusti waas ku sulingna
fear,blm positif sihh ngan odp dellll sieun we sokk 
fear,kitu seteh yang urng mh sien mnh indit jng batur matak loba curiga oge
sadness,tin jujur urg nyurucud cai panon ningali video na pas kalimat lailahailallah dipake jang maehan jalma sedih ya allah gs saparah kieu kitu akhlak jlma zmn ayn bajaning brudak bolon knh
sadness,ayeuna sedih kangmas aslina ku situasi kieu mah nyak ya allah abi kadang lalai jumat an mah meuni karaos aya suara2 ti mesjid teh meuni asa saredih tiasa deui netepan ka mesjid
sadness,ngajerit hate ge ai hrp anger wae kieu mah btr mah moal apal jng moal bsa ngarasakeun
fear,jalan ke pangandaran banyak belokan arek ngebut juga meuni palaur 
sadness,sok watir urang mah soalna babaturan urg nu introvert di bacotan ku aing
fear,mun ningal laga sore kamari jeng tadi peuting asa melang keok telak pemain na berenergi tinggi batur mah 
sadness,meni asa saredih kieu puasa rek nggeusan sabulan ya alloh lah tambahan mun tiasa mah puasana bakal sono ngariung bada maghrib jeung genk sakuntala ditempat gawe bakal sono raeng na sora toa kunu tadarus di masjid bakal sono lelenggutan lamun keur sahur
fear,jalan nu bade ge nu pas bulak belok na wengi mah asa keueung wa komo loba tangkal nu baradag mah ka pangandaran
sadness,harita ukur ngembeng cai soca teu wasa wakca balaka pisah jeung ema nu mulang ka alam baka
fear,yaallah kareueung kieu
sadness,ker urang sukabumi moga di pasihan kasaban cocobi ti allah interpeksi diri urang bae ayenamah di tanggerang aya naon allah cocoba ka urang sadaya abdi turut perihatin sing sabaar nya
fear,sumpah gw ngadegdeg sieun selift berdua doang sm tuh gorila pake acara nanya2 tuh
fear,di sekitar ga kebayang kl jadi penduduk gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal 20 km
joy,alhamdulillah ngiring bingah ningali anjeunna tos seperti biasa nuhun gusti
fear,ieu aing asa hariwang asa teu adil anying lengitken pangarumasaan ieu gusti 
fear,teu acan eung mung tos uih margi aya nu positif covid lebet sarieun
anger,gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r isolasi kaluar2 sateh
sadness,sedih kisah wafatnya nabi muhammad saw
joy,teuing mun ceuk urang mah meunang chat ti kabogoh nu eusina loba emot na sok atoh we alay sih tapi paduli teuing 
joy,nempo nu kieu hungkul aingmah seuri nyakakak
joy,simkuring bingah pisan ieu buktos yen sunda mah pamimpinna kedah adem ayem silih asah silihasuh silih asih sanajan simkuring hoyongna mah duet teh kang dedi sreng kang rk mung simkuring percanten kang dedi msih tiasa ngawangun jabar nu sae oge hatur nuhun
sadness,ku tirisna oge tos teu walakaya mugia teu sareng banjirna ka dulur di lembur ka baraya di kota mugia hujan iyeu janten berkah panyinglar si korona
joy,aduh asa dosa euy nyeungseurikeun ibu labuh ti sorodot hahahaha ngeunah seuri kieu hahahaha
sadness,ngajerit hate ngadangu beas garem bbm makin naek jeng kouta makin mahal ges mahal di bagi bagi dei ripuh ripuh
joy,asa ragrag jajantung bingah ammarwatasuta
fear,pengen renang tapi apalah daya kasus corona membuat sarieun 
anger,waro goblog mun aing nanya teh
sadness,ya alloh gusti nu maha suci mung ka anjeun abdi tiasa sumerah mung ka anjeun abdi tiasa pasrah 
sadness,karunya kieu nu rek kiwin susulumpatan kieu
joy,ungah hate abdi ningali persib meunang ngalawan persija
joy,duh tos aruwih ameung meuni bungah ngiring ningali rariwehna weh abdimah 
sadness,sedih ningali persib ayeuna latihan ngan 10 jelema sedih adek baang 
joy,bagja boga butut bari meunang sorangan tibatan gableg hade tapi ti kolot harga diri atuh anjing
sadness,mun diri abdi diparengkn dipasti ku gusti enjing pageto abdi sumerah tur ikhlas sahnteuna abdi tos t ngrsa pnarasan ku cita2 abdi tibaheula
fear,meuni asa keeung ngadangu geulap ting jaloledar teh jaba meuni endeur 
anger,plis atulah corona geura musnah sia teh anjing goblog aing bimbingan kehed dasar virus goblog ih
anger,hayoh weh terus anjing ijid ngomong aya kawani diadu jeng aing ulah kie carana lah 
anger,teuing jelema teh lieur kieu wa gara2 persekutuan corona teuing isuk pageto lamun manehna keneh aya obroleun tsunami2 deui urg gedig weh tuman
fear,di rumah jir bentak2an sama tante aku serem lah ngadegdeg
fear,bakat ku sieun ditilang ieu teh lurd
fear,anjayy kunaon sih sararieun kieu mneh ul
sadness,sok ujug2 asa sararedih asa waas tapi duka kunaon kadang2 lamun tos kieu teh uih heula ari mah asa diubaran di bumi
sadness,nalangsa lebah dieu muslim kudu sabar teh
anger,wayahna bobotoh kudu nga unsubscribepersib kieu carana mah bobotoh diancam live batal mun subscriberna 700k balik ancam deui weh unsubscribe akun persib slogan bobotoh adalah nafas dikartu member persib teh liang waduk nu aya cekik nafas bobotoh
joy,bagja ninggali sieta jeung kabogoh anyarna seuri bareng
sadness,saredih pron sahur na dikantin rumahsakit 
sadness,har aing mah sedih ka maneh duaan awalna tapi teu nanaon sugan jodoh maneh engke leuwih baik tetap semangat nya ngan plis aing teh galike pisan pas si alika ngabaran ngan saukur ngomong aing hamil plis eta nyeredet pisan
anger,yg salah bkn pemaen fix manajemen goblog bisaca soal pemaen nya kitu skill roggomah butuh ewwuh andelkeneun komo deui er8 ngandelkeun paadu awak da eweuh skillan masa aktif habis 
joy,nuhun abdi tos tiasa seuri nyakakak mugi jadi pahala
fear,masang wifi deui tapi sieun teu kabayar euy
anger,bule goblok sok tau sia urus we negara sia jeung agama sia keuheul aing sorry make bahasa jerman 
sadness,beteung geus teu asup kana kopi yaallah padahal ngeunah pisan tapi ripuh 
sadness,miris nu ngomen resep kana berita ieu ge saruana miris iman 
sadness,era aing lalajo perjuangan pejuang baheula ari aing ngeluh ayeuna asa ka teunggeul beungeut
anger,ah tah aing kurus tahh org bilang gendut bodo amat da aing ngerasanya kurus muak aing liat tl isinya cewe kurus badan tulang semua bilang aku gendut ya gendut gendut huntu sia tah gendut caper si goblog
joy,nuhun neng baju koko na bagja boga kabogoh teh mang meulikeun seragam jang ibadah 
anger,naon aisia goblog gelo sing bener atuh bagong teh eeuh anying kehed siamah ku aing rek diduruk eta heuncet maneh belegug jd jelema teh koplok
joy,ngeunah seuri ya alloh gelut jeng orang abrajil pake bahasa sunda ga nyararambung atuh anying ah
fear,teu bisa ngomong da sieun jadi weh ngabirigidig
sadness,sok saredih aya nu inget teh tapi aneh naha amplopna kosong
anger,gokar punteun buat yg pd nongkrong yg jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu ge di imah beunang cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r isolasi teu kaluar2 sateh
joy,ngeunaheun kieu nuansa ngomong ngalarti tapi ngilu ngabarakatak arayu pula
sadness,ya allah abi teh hate mah ngajerit payuneun batur seuseurian ge
sadness,asa sararedih kieu bade boboran teh bakal sono ka sasih romdon urang sadaya tiasa pendak deui sareng romdon taun payun
joy,hatur nuhun om tadi pendak meuni asa bungah hate heheh farhan penyiar
anger,onlen onlen tai ledig lah maksakeun rariweh jadina teh bagong teu epektip blog ah lieur nyao teu lieur
joy,alhamdulillah nuhun gusti boga baturan soleh
anger,pisan eta jelma mun deukeut kepret ku aing
joy,sayur asem sambal terasi ikan asin nikmat pisan gusti
anger,jangan kaya gitu bren jadi jelema bisi loba nu nga galey 
fear,peuting tadi kuring ngimpi ngeunaan aki kuring tapi waktosna ta pikasieuneun urang angkat ka leuweung saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik
joy,makasih mantan kamu terbaik membuat aku babarakatakan di jalan karna kalakuan umak
sadness,asa teu wasa ninggal pa ketu aya dinu lindungan allah sehat walafiat paketu alfatihah
sadness,saredih kieu ningali si ariel ihh sabar yah riel 
joy,asane teh meuni bungah mun ningali o0m didi ngalangkung di beranda twitr abdi
anger,dititah di imah ngajedog hese anying
joy,ngabuburit yg sederhana adalah mendengein kang ibing seuseurian sorangan hate bungah angeun kacang mengantosin
fear,gar ulah bisi kasuatsuat ka taman musik keur dahar mieayam nyumput ngadegdeg sieun diudag ku budak smp 2
anger,nareangan pinafsueun wae isuk keneh ge aranjing teh
fear,angger we hariwang nempo duet phul jones jeung indra mustafa yahabibi
anger,bakal aya saat na raga ditinggal nyawa jadi keur sia montong sok balaga loba gaya ngewa neleuna
joy,tadi duhh gusti teu kuat aink seuseurian ti keur wkwk
sadness,tong sare atuh coba weh yoga atawa zumba di imah sugan weh cageur duh balik ka imah enak euy urang ka lockdown meuni sedih didieu di malang
joy,sok asa bingah ningali budak jeung pamajikan sereuri terimakasih ya alloh atas segala kemurahnmu 
fear,merapat euy aing ngadegdeg sieun aya nu wawuh jeng mawa helm deuih
anger,sender awewe tp sender na teu bisa ngahargaan perasaan kabogoh si lalaki make bahasa kita rutin hs dan kissing juga goblog bapa sia unggal poe solat tahajud ajgg 
sadness,di kamar bari ngusapan tonggong si mamski teh teuing kunaon rarasaan teh nyaman pisan ai geus diusapan ku si mamski teh nu asalna biasa wae jadi sok saredih aing ka kamar loba pisan kenangan eta foto foto alika puisi puisi aing keur alika teu kuat aing ceurik di kamar
anger,ceuk aing oge tong sok balaga jd jalma mah ari kieu mah mewek siah kehed
sadness,dugika kiamat yahudi bakal ngadoreksakeun ka umat islam tapi ai ningali kieu wae mah gusti meuni nalangsa didieu kur bisa ngadoakeun 
anger,anjing emang pep hayu ulin aing keur aral
fear,sieun ciga itali atuh ih pak jokowi tulungan tulungan karunya ridwan kamil ti zona merah gawe na mubajir loba teuing nu mudik
anger,goblog awewe teh bisaan ngelakna ih anjing ijid demi allah ges aya bukti oge angger we teu ngaku keneh
anger,geus ka prediksi sih bakal eleh tapi teu di jojoet jiga kieu atuh bagong sahenteu na boga ka era jeung aya perlawanan atuh goblog aral anying
anger,aingmah napsu euyyy ka jelema belet salah grup batur geus update dan sharing langkah menghadapi pandemic iyeu angger weh pembahasan teh fans 01 vs fans 02 hayang neunggeul mun deukeut mah sia belegug
sadness,sedih ningali indonesia eweuh liga mana sepak bola anu jd pemersatu bangsa ayeuna iwal jd kenangan
fear,keueung sih lamun bener komo lamun ka garut na pake umum ayena kan te terang pas naek kendaraan umum nyebar deui kanu sanes dinu sanes ka sebar deui hih te malikir jelema teh barelegug
fear,wengi lur asa hariwang jeung galau yeuh di jero karung nempo komposisi pemaen asing persib tong nepi meuli ucing
anger,anying gelud wae sia teh goblug
sadness,dina tempat ikhlas tapi masih wasa ningal fotona wilujeng kantun bageur mugia sing ditempatkeun anu sakuduna
anger,gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu di imah ge beunang cik karunya ka diri sorangan teh gobloggg cicing heula saminggu mah dripda cicing di r isolasi teu kaluar2 sateh 
anger,babangus sia teu di sakolakeun
joy,si kamari pujaan hati membawa kejutan nga sms gitu meuni bungah pisan hate teh
joy,nikmat pisan sareung raos nya teteh laukna tutut tur keong imut waktos aralit kapungkur 
fear,gandeng eta sora lagu mani keeng kieu atu lah
anger,hayang digaplok cigana kalakah twit ulang ini ditjen imigrasi urg nu bingung di komen eta teu ditanggap seneng bikin orang kebingungan masa di serang kudu trus
joy,alhamdulillah gusti akhir tahun teh berkah
sadness,engke teuing har aing mah sedih ka maneh duaan awalna tapi teu nanaon sugan jodoh maneh baik tetap semangat nya ngan plis aing teh galike pisan pas si alika ngabaran ngan saukur ngomong aing hamil plis eta nyeredet pisan
joy,bingah patepang sareng pangerasa sing katampi kalayan pinuh midulur
joy,alhamdulillah ya allah atos jongzon abdi ayuna mugia aya hikmah na tina kajanteunan ieu sadaya na pasti aya amis saatos pait janji allah aamiin tetap slalu bersyukur pada mu ya allah 
sadness,mang euleuh punten ah tong nga upload photo korban na atuh meni asa wasa ninggal na ge
fear,nuhun min ditunggu jawabannya nya hujan guguludugan poek sarieun kieu
joy,alhamdulillah sabenerna diluar dugaan edukasi tentang wabah covid 19 ternyata geus nepi ka pelosok matak teu aneh di masyarakat urang loba nu geus kabangun kasadaran na di imah nerapkeun pola hirup jeung mariilih cicing jadi lain pedah kasieunan sih
sadness,imah sepi yawloh saredih indung dirawat di rumah sakit inget indung ker masa masa sehatna nu sok mapagahan 
fear,punten cek di halteu seeur nu dagang pas ngabuburit sanesna kukumaha tapi hariwang iyeu mah
fear,cangcang geura duh talian pake rante gembok we meh teu leungit meuni asa hariwang nyindir batur
anger,saha sih aing meni kepo anying sia babi bagong
anger,ulah lebay lah boqsue bisi di galey kua aing
anger,mun dordar jeung ban serep asa hayang ninggang babatok si abu janda ku martil
sadness,kasaha kami mah didieu jauh pisan ka tatanga maklum gening nyai hirup handapeun gunung mah komo eta pas listrik aliran lain ka landeuh meser lilin hah da meni matak cape anu sedihmah pas bade ninyuh kopi gas ns seep duh meni handeueul ka batur
sadness,alah harr euy asa nyeredet hate kieu macana anjis 
fear,sarieun tea urusan sareng gengster mah ah
fear,nya eta parah pisanpernah basa eta didinya untung katahan keneh jaba ker tarik jeng sanes eta pokona jalan soreang arah ciwidey atau sabalikna banyak lubang pisan palaur tos seer korban soalna
fear,tuh ahirnamah ngaku ning aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur duh gusti
anger,aslina maruk na beragama teu make akal kitu garelo jelema teh wa lieur bieu urg nempo aya jenazah corona dek dikurebkeun warga2 pada nempoan ngarumpul coba mun kieu man indonesia jd pang rangsakna ku corona
sadness,kadang jadi awewe teh lelah lelah menipu awewe penipu mereka sok pura2 bagja padahal hatena nalangsa
anger,si abu janda teh ngaku na org bdg nya sumpah ajig bieu asa ninggali si eta di parpatan jamika porengesna sarua make mobil taft hejo tai kuda hayang nyiduhan tapi sieun lain si eta
sadness,euy nalangsa gini hidup teh pengen keluar jalanjalan tp maenya sorangan kabogoh eweh babaturan eweh karunya pisan nya aku
sadness,ieu kuring naha janten hanjelu gara gara di chelsea parantos teu aya fabregas
anger,ampun sia meni teu bisa di keheula keheula aing ka imah teh lain ngababu ataupun holiday tai teh aing aya tugas isuk isuk dititahan di keheula keheula gandeng pisan sungut teh rawing anying
joy,bahagia mah teu kudu mewah loba harta sagala aya salah sahijina cukup sllu bisa seuri dina sagala kaayaan alhamdulillah bahagia
joy,si bapa ieu diem diem bae tapi sakalina bicara pikaserieun pertahankan pa walapun tidak jadi wakil yg baik setidak nya jadi komedian yg bisa menghibur warganya
sadness,ker urang sukabumi moga di pasihan kasaban cocobi ti allah interpeksi diri urang bae ayenamah aya naon allah masih cocoba ka urang sadaya abdi di tanggerang turut perihatin sing sabaar nya
anger,sok hayang neunggeul jelema supat sepet teh
fear,iya meni ngaderegdeg sieun loba dosa
anger,deuh leyek ku aing da sia 
sadness,sok sararedih ah menangis bari mirun seneu
joy,allhamdulillah jalmi anu sasarengan sareng abi ageung kasabaran seer ngelehan hnt egois hnt ngutamakeun hobby hnt cuek ajeuna bisa sabar tina sagala tingkah abi anu awon sarrng bbudakeun ayeuna
sadness,murudul cai panon ningali temlen semua nyudutken persib dan bobotoh
joy,nuhun ieu abi nyakakak lami diperantauan mendak deui basa ieu nembe
anger,waduh eta ngahina si koplok teh bagong tapi hati2 euy jigana ngahaja rek provokasi adu domba eta mah mun bisa mah adukeun jeung domba garut tah jelema teh
sadness,jiaaah karasa ka inget ngoceak batin kasuat2 manah asa teu daya upaya heueuh rumasa ieu salah kuring rumasa teu kawasa narimakeun
sadness,ternyata urg bisa sedih ningali timnas indonesia gagal jadi juara
joy,kuatka ngenah seuri ya alloh rugi we jadi pamajikan mang adeng mah nu d teangan na ge wayang lain pamajikan ke wkwkwk
fear,tara tisasari ieu rasa asa melang kanu anggang ngabalukarken mekar lir kembang malati hate sok hariwang sieun eneng kagembang ku jajaka nulian salira sabar satia ngantosan dugika waktosna urang tiasa rerendengan dipelaminan
anger,sok gera datang atuh geus teu kuat hayang neungeul
fear,inalilahi kahuruan na kahatek meni serem ningali seuneu na 
anger,sibagong ngabangus tikamari
sadness,aman di dinya sep asa ngadadak sono balik anjir ngan maca berita eta inget oge ka indung 
joy,bingah pisan dipasihan suasana candle light dinner wengi ieu di kota sukabumi
fear,di pasar induk caringin pa nasib orang pasar kumaha sy icalan bandung tos seueur nu panik teu sakedik nu nyebar hoax pasar bade ditutup sementara teu paruguh kieu bade icalan sieun ku covid 19 teu icalan asa piraku kitu pa
fear,hariwang nempo persipura fullteam bismillah weh susuganan bisa meunang
fear,hujana keeng kieu sien banjir aduh
joy,alhamdulillah dugi bumi hatur nuhun gusti tos masihan kalancaran hatur nuhun barudak kalian semua luar biasa
joy,aslina ih abi pernah karek ngadenge sora si cepot hungkup ge geus babarakatakan kuatka peureus kadut
sadness,nyeredet kana hate euy sekilas ningali sahar 
joy,akhirna usai weh kabeh aing mah ngan bisa jejeretean bungah ningali sia dapetkeun karma hahaha
anger,onlen onlen tai ledig lah maksakeun pisan rariweh jadina teh bagong teu epektip blog ah lieur teu lieur
sadness,asa nyeredet kanu manah lamun aya nu ngomongkeun cinta teh teuing kunaon 
joy,asa ku nikmat kieu gogolehean bari ngupingkeun lagu papatong koneng versi koplo
sadness,mangkat macet teu maju teu mundur alhasil motor fi simpen sawah asup menjelang akhir babak 1 eh aliraan babak ka 2 na sedih kahujanan ban bocor balikna endah pokonamah iyeu di deket
anger,naon sih anying riweuh pisan si bagong sia pengangguran mun nyalahkeun pemerintah ayeuna nyalahkeun awewe insyaf sia teh zuma sia tah akhir zaman lainna neangan gawr kalahkah komen ig nyinyir deuih si anying guna sia hirup
fear,abimah sok sieun nempo mata essien teh ari batur sieun nya nempo mata abi
joy,alhamdulillah sehat baca status na tambih sehat da seuri wae ngabarakatak hahaahah
anger,yang namanya novita hayu atuh ribut jeung aing sia nyatumkeun nomor aing aing di telpon2 nomor di kenal dibilang sodara sia aing geh nyahoo sia idup apa paeh
sadness,jims tong babay2 an atuh lah menii saredih
sadness,sakapeung mah sok hayang ngajerit maratan langit ngoceak maratan jagad 
anger,gokar punteun buat yg masih pd nongkrong yg masih jalan2 gajelas punteun ieu mah ari sia goblog2 teuing sih sia terpapar korona di luar nu ge di imah beunang cik karunya ka diri sorangan teh gobloggg cicing saminggu mah dripda cicing di r isolasi teu kaluar2 sateh
fear,aink ge sieun ieuh bulu kuduk narangtung ieuh
joy,nuhun gusti nuhun mamah nuhun papah dipasihan rezky langkung ti sakiye
anger,halah spontanitas tangkurak sia memangnya kr ngetik teu kadeuleu ku panon sia anyeeeng kolot ontohod
fear,sekitaran jln moh toha hujan ngaririncik mana sepi mana poek duh gusti asa kareueung kieu
fear,nyak matak sieun gung hoyong dateng sieun da rek naon ka zona merah
sadness,sedih nonton net tentang keluarga surprise surprise gitu uing jd ngeclak cai panon ngarasakeun uing ge kangen ka indung 
sadness,mana eta indungna keur mah ditaranjangan ditalian geus atuh anying karunya anak batur meuni pereum benta kitu eta
anger,dasar si waduk teh ngotoran lembur batur ku aing buburak siah
sadness,lain mendramatisir tp emang kanyataan walakaya ngadangu suanten si coach
anger,libur teh cicing di imah w kehed dahar sing bener istirahat sing loba lain ulin piknik ngarumpi anjiggggggg 
joy,bagja boga bbtran kos maraneh ti awal cilaka npika ayena maraneh sok aya datang silih berganti teing kudu kumaha balas budi ka maraneh lads
joy,nembe nuhun ieu abi nyakakak tos lami diperantauan mendak deui basa ieu
sadness,demi allah ngucur cai panon ningali persib juara
sadness,innalillahi dipundut kunu rahayu dicandak kunu kawasa sasat di tongtak dipulut ku izrail malakal maut deudeuh kang didi petet
anger,baledogan endog sulanjana na teu boga pipikiran pisan manajemen teh ai opa gomez mah puguh lolong ka pamaen lokal nu garoblog asisten na kepret ku aing
joy,allhamdulillah hatur nuhun pisan the nya teh miadasmawati meuni bungah kawiwirang lgsg di waler ku teteh hehe 
fear,rek nagih hutang meuni sieun kieu wkkwkwkw goblog memang
joy,mun aya nu nanya mah ceritana oge sambil seuseurian tuda lucu weh kitu meni bisa ka hipnotis kos kieu nyangka pisan ayeuna
joy,bismillah ya allah di dinteun jumat anu barokah ieu abi bungah pisan sadayana elemen bobotoh ayeuna bade ngahiji pikeun persib mugia jeung abi yakin persib musim juara aamiin
sadness,yaa allah mo ramadhan ni hempaskan covid19 dr bumi ini lamun romadon masih keneh dirumahaja moal we atuh euy bukber dan berburu tajil teh ni sok saredih ih
fear,duh jadi sarieun kieu aa sieun ke nudipilih pekteh akhlaqna janten robih sabab nudipilihteh jalmi sok inggis keuna ku owah gingsir
fear,ya alloh empah kamana sih wayah kieu can uih meni melang jeung hariwang eneng
joy,alhamdulillah rejeki wengi seuri mah aya we tengah hahahahahahahahaha
anger,mun anakna lain sobat aing didagor tah jelema paduli mamang dekah
anger,goblog iyeu berita geus loba simpang siur na ga hoax ga makan anjing
joy,tah eta kang kitu gening hawatos na ibu na rrencangan ge teu nembe damel deui kang alhamdulillah na tiasa ngajait alhamdulillah pesenan masker aya tadi ti abdi 600 losin rengse
anger,lain diserang males we atuh da manehna ge nyerang anies pupuguh s bebel teh
sadness,tanyakeun ai ngartos mah ulah dipikiran ku sorangan bisi gelo ka batur rada watir urang mah
anger,boikot lah tuman meh karasaeun ku manajemen 
joy,ha ha ha meuni bungah hate nungali nu ngacung 
anger,baledogan endog sulanjana na teu boga pipikiran pisan manajemen teh ai opa gomez mah geus puguh lolong ka pamaen lokal nu garoblog asisten na kepret ku aing 
joy,tah eta kang kitu gening hawatos na ibu na rrencangan ge teu damel deui kang alhamdulillah na tiasa ngajait alhamdulillah pesenan masker aya wae tadi ti abdi 600 losin nembe rengse
